0.0 0.0 1.0
0.0 0.03932584269662921 0.95
0.0 0.14606741573033707 0.9
0.0 0.28277153558052437 0.85
0.0002239140170174653 0.47752808988764045 0.8
0.0002239140170174653 0.6367041198501873 0.75
0.0008956560680698612 0.7453183520599251 0.7
0.0022391401701746527 0.8277153558052435 0.65
0.004030452306314375 0.8820224719101124 0.6
0.006493506493506494 0.9138576779026217 0.55
0.01141961486789073 0.9269662921348315 0.5
0.016569637259292433 0.9438202247191011 0.45
0.02821316614420063 0.9569288389513109 0.4
0.04276757725033587 0.9644194756554307 0.35
0.06023287057769816 0.9681647940074907 0.3
0.08598298253470667 0.9719101123595506 0.25
0.119346171070309 0.9756554307116105 0.2
0.183833407971339 0.9775280898876404 0.15
0.2794446932377967 0.9812734082397003 0.1
0.41401701746529335 0.9887640449438202 0.05
1.0 1.0 0.0
